event_id,st,d,n_cat,n_store,prefix_by_id,prefix_by_lo
624154,KBKF,2026-06-24,11,1,true,true
675497,RCSS,2026-07-09,11,1,true,true
693916,VILK,2026-07-14,11,1,true,true
675495,LEMD,2026-07-09,11,1,true,true
705197,EGLC,2026-07-17,11,3,true,true
731571,OPKC,2026-07-24,11,1,true,true
784116,SBGR,2026-08-03,11,1,true,true
883972,ZSPD,2026-08-23,11,1,true,true
779963,EHAM,2026-08-03,11,1,true,true
831464,ZSPD,2026-08-13,11,1,true,true
533144,RKSI,2026-05-30,11,1,true,true
550297,OPKC,2026-06-04,11,1,true,true
624156,KLAX,2026-06-24,11,1,true,true
631925,RKSI,2026-06-27,11,3,true,true
657638,EHAM,2026-07-04,11,1,true,true
693928,ZBAA,2026-07-14,11,1,true,true
712461,ZSPD,2026-07-19,11,1,true,true
712617,EGLC,2026-07-19,11,1,true,true
735868,SBGR,2026-07-24,11,1,true,true
754877,LIMC,2026-07-29,11,1,true,true
758589,KSFO,2026-07-29,11,1,true,true
804649,EGLC,2026-08-08,11,1,true,true
712462,WSSS,2026-07-19,11,1,true,true
779945,EDDM,2026-08-03,11,1,true,true
951872,,2026-09-04,11,11,true,true
585966,EGLC,2026-06-14,11,3,true,true
620952,EHAM,2026-06-24,11,1,true,true
620954,WMKK,2026-06-24,11,1,true,true
642557,SAEZ,2026-06-29,11,1,true,true
675510,ZGGG,2026-07-09,11,1,true,true
693904,EGLC,2026-07-14,11,3,true,true
697085,MPMG,2026-07-14,11,1,true,true
731551,WSSS,2026-07-24,11,1,true,true
735887,KLAX,2026-07-24,11,1,true,true
715761,KATL,2026-07-19,11,1,true,true
804484,WSSS,2026-08-08,11,1,true,true
836362,SBGR,2026-08-13,11,1,true,true
857509,ZSPD,2026-08-18,11,1,true,true
888500,,2026-08-24,11,3,true,true
712470,WMKK,2026-07-19,11,1,true,true
731550,ZSPD,2026-07-24,11,1,true,true
758585,KAUS,2026-07-29,11,1,true,true
779942,RKSI,2026-08-03,11,1,true,true
808807,KBKF,2026-08-08,11,1,true,true
857537,ZSQD,2026-08-18,11,1,true,true
863254,ZHCC,2026-08-18,11,1,true,true
919402,ZSJN,2026-08-28,11,1,true,true
712623,LIMC,2026-07-19,11,1,true,true
715760,KDAL,2026-07-19,11,1,true,true
715768,KSFO,2026-07-19,11,1,true,true
758580,KATL,2026-07-29,11,1,true,true
804658,EDDM,2026-08-08,11,1,true,true
808808,KHOU,2026-08-08,11,1,true,true
831666,EPWA,2026-08-13,11,1,true,true
831681,OPKC,2026-08-13,11,1,true,true
883998,FACT,2026-08-23,11,1,true,true
951846,,2026-09-04,11,11,true,true
712457,RKSI,2026-07-19,11,3,true,true
735888,KSFO,2026-07-24,11,1,true,true
794334,RKSI,2026-08-06,11,3,true,true
831470,ZUUU,2026-08-13,11,1,true,true
842135,EGLC,2026-08-15,11,3,true,true
952279,,2026-09-04,11,11,true,true
515709,RKPK,2026-05-25,11,1,true,true
533152,LTAC,2026-05-30,11,1,true,true
553892,EGLC,2026-06-05,11,3,true,true
571428,RKSI,2026-06-10,11,3,true,true
586001,ZSQD,2026-06-14,11,1,true,true
621099,OPKC,2026-06-24,11,1,true,true
639554,ZHHH,2026-06-29,11,1,true,true
693923,LIMC,2026-07-14,11,1,true,true
322500,EGLC,2026-04-03,11,3,true,true
322552,EGLC,2026-04-04,11,3,true,true
212699,EGLC,2026-02-19,9,3,true,true
255775,EGLC,2026-03-11,9,3,true,true
337820,RKPK,2026-04-07,11,3,true,true
220998,EGLC,2026-02-23,9,3,true,true
624159,MPMG,2026-06-24,11,1,true,true
642566,KSEA,2026-06-29,11,1,true,true
660824,MMMX,2026-07-04,11,1,true,true
678805,KSEA,2026-07-09,11,1,true,true
223317,EGLC,2026-02-24,9,3,true,true
321062,EGLC,2026-04-02,11,3,true,true
359585,EFHK,2026-04-13,11,11,true,true
390827,WSSS,2026-04-20,11,11,true,true
390828,LIMC,2026-04-20,11,11,true,true
390841,KSFO,2026-04-20,11,11,true,true
426254,ZUUU,2026-04-30,11,11,true,true
443305,KLGA,2026-05-05,11,11,true,true
443332,KSFO,2026-05-05,11,11,true,true
443371,RPLL,2026-05-05,11,11,true,true
460651,SAEZ,2026-05-10,11,11,true,true
272220,EGLC,2026-03-19,11,3,true,true
390807,EGLC,2026-04-20,11,11,true,true
426298,OPKC,2026-04-30,11,11,true,true
443301,SAEZ,2026-05-05,11,11,true,true
460665,RJTT,2026-05-10,11,11,true,true
479742,KLAX,2026-05-15,11,11,true,true
251729,EGLC,2026-03-09,9,3,true,true
408575,LFPB,2026-04-25,11,11,true,true
408602,ZUUU,2026-04-25,11,11,true,true
